what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302754428
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302755836
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302761133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1394302763055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1394302763822
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302767446
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302767446
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1394302768843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302770023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302771061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1394302771067
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302773038
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302773447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1394302773455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302777330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302782256
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302782638
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302782692
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1394302787384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302788285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302788574
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1394302788579
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302788603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302792814
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302796811
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302797188
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302797232
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1394302800042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302802035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302803611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302806905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302810771
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302811125
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302811181
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1394302812811
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302813511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1394302815121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1394302816122
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1394302869014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1394302891430
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1394302905671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1394302907922
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1394302909373
